ID_empleado;Nombre_empleado;Cargo;Planta;Turno;Sueldo_CLP
124;Empleado_124;Supervisor;Quellón;Noche;1314987
125;Empleado_125;Supervisor;Puerto Montt;Mañana;1296639
126;Empleado_126;Supervisor;Calbuco;Tarde;984531
127;Empleado_127;Técnico;Quellón;Mañana;1387420
128;Empleado_128;Técnico;Quellón;Tarde;792043
129;Empleado_129;Supervisor;Puerto Montt;Mañana;1865638
130;Empleado_130;Técnico;Puerto Montt;Noche;1113289
131;Empleado_131;Operario;Quellón;Noche;1483600
132;Empleado_132;Operario;Puerto Montt;Mañana;1569775
133;Empleado_133;Técnico;Chinquihue;Tarde;1652592
134;Empleado_134;Administrativo;Quellón;Tarde;1983134
135;Empleado_135;Administrativo;Calbuco;Noche;571517
136;Empleado_136;Supervisor;Quellón;Mañana;1736458
137;Empleado_137;Técnico;Hornopirén;Tarde;655918
138;Empleado_138;Administrativo;Puerto Montt;Mañana;1928906
139;Empleado_139;Operario;Hornopirén;Noche;509017
140;Empleado_140;Supervisor;Chinquihue;Tarde;868959
141;Empleado_141;Administrativo;Chinquihue;Mañana;625178
142;Empleado_142;Administrativo;Calbuco;Tarde;1460215
143;Empleado_143;Operario;Quellón;Noche;1342902
144;Empleado_144;Supervisor;Chinquihue;Noche;951904
145;Empleado_145;Administrativo;Hornopirén;Mañana;1255306
146;Empleado_146;Técnico;Quellón;Mañana;948215
147;Empleado_147;Supervisor;Calbuco;Noche;1827436
148;Empleado_148;Supervisor;Puerto Montt;Noche;883555
149;Empleado_149;Operario;Puerto Montt;Tarde;1494756
150;Empleado_150;Técnico;Hornopirén;Noche;1355402
151;Empleado_151;Operario;Calbuco;Mañana;1002681
152;Empleado_152;Administrativo;Calbuco;Mañana;1149336
153;Empleado_153;Operario;Quellón;Tarde;584484
154;Empleado_154;Supervisor;Quellón;Noche;1879883
155;Empleado_155;Supervisor;Calbuco;Mañana;521600
156;Empleado_156;Administrativo;Puerto Montt;Mañana;942732
157;Empleado_157;Técnico;Hornopirén;Noche;1380640
158;Empleado_158;Operario;Quellón;Noche;1998894
159;Empleado_159;Administrativo;Quellón;Mañana;819313
160;Empleado_160;Técnico;Puerto Montt;Noche;1818196
161;Empleado_161;Técnico;Calbuco;Tarde;1657553
162;Empleado_162;Supervisor;Hornopirén;Mañana;1633145
163;Empleado_163;Administrativo;Calbuco;Noche;1321226
164;Empleado_164;Técnico;Puerto Montt;Noche;1765172
165;Empleado_165;Supervisor;Puerto Montt;Tarde;1983639
166;Empleado_166;Técnico;Quellón;Mañana;958205
167;Empleado_167;Técnico;Puerto Montt;Noche;1954139
168;Empleado_168;Supervisor;Hornopirén;Mañana;720711
169;Empleado_169;Técnico;Chinquihue;Noche;1519935
170;Empleado_170;Operario;Quellón;Noche;1866649
171;Empleado_171;Técnico;Hornopirén;Noche;1119578
172;Empleado_172;Técnico;Quellón;Noche;1782863
173;Empleado_173;Supervisor;Hornopirén;Noche;1488914
174;Empleado_174;Técnico;Quellón;Tarde;1818240
175;Empleado_175;Supervisor;Calbuco;Tarde;1011074
176;Empleado_176;Técnico;Chinquihue;Mañana;1474115
177;Empleado_177;Administrativo;Chinquihue;Tarde;898645
178;Empleado_178;Operario;Hornopirén;Tarde;1707982
179;Empleado_179;Operario;Quellón;Noche;637407
180;Empleado_180;Operario;Puerto Montt;Mañana;1725962
181;Empleado_181;Operario;Chinquihue;Mañana;1575154
182;Empleado_182;Supervisor;Chinquihue;Noche;1986745
183;Empleado_183;Operario;Quellón;Mañana;960602
184;Empleado_184;Operario;Calbuco;Mañana;619154
185;Empleado_185;Técnico;Hornopirén;Noche;1421948
186;Empleado_186;Administrativo;Hornopirén;Tarde;1212716
187;Empleado_187;Supervisor;Chinquihue;Mañana;1583215
188;Empleado_188;Supervisor;Hornopirén;Mañana;912967
189;Empleado_189;Supervisor;Calbuco;Mañana;1393430
190;Empleado_190;Técnico;Hornopirén;Mañana;1576113
191;Empleado_191;Supervisor;Chinquihue;Mañana;1587030
192;Empleado_192;Administrativo;Calbuco;Mañana;1867443
193;Empleado_193;Operario;Hornopirén;Noche;734998
194;Empleado_194;Técnico;Quellón;Noche;960872
195;Empleado_195;Operario;Quellón;Mañana;1684500
196;Empleado_196;Administrativo;Quellón;Tarde;1164259
197;Empleado_197;Supervisor;Hornopirén;Tarde;1087975
198;Empleado_198;Técnico;Calbuco;Noche;619312
199;Empleado_199;Operario;Quellón;Tarde;1763967
200;Empleado_200;Supervisor;Puerto Montt;Tarde;962847
201;Empleado_201;Técnico;Hornopirén;Noche;1795848
202;Empleado_202;Administrativo;Puerto Montt;Mañana;810806
203;Empleado_203;Operario;Chinquihue;Mañana;1779466
204;Empleado_204;Operario;Chinquihue;Mañana;757955
205;Empleado_205;Supervisor;Quellón;Tarde;587563
206;Empleado_206;Supervisor;Calbuco;Mañana;871957
207;Empleado_207;Administrativo;Quellón;Tarde;522768
208;Empleado_208;Administrativo;Chinquihue;Noche;905212
209;Empleado_209;Operario;Quellón;Noche;1258113
210;Empleado_210;Operario;Hornopirén;Noche;622051
211;Empleado_211;Supervisor;Puerto Montt;Tarde;669059
212;Empleado_212;Supervisor;Chinquihue;Mañana;1936747
213;Empleado_213;Operario;Puerto Montt;Tarde;1859416
214;Empleado_214;Operario;Calbuco;Mañana;1373302
215;Empleado_215;Técnico;Quellón;Noche;1195609
216;Empleado_216;Técnico;Calbuco;Mañana;1262949
217;Empleado_217;Técnico;Chinquihue;Noche;857571
218;Empleado_218;Operario;Chinquihue;Mañana;1927241
219;Empleado_219;Supervisor;Puerto Montt;Mañana;1961562
220;Empleado_220;Administrativo;Quellón;Tarde;910623
221;Empleado_221;Técnico;Calbuco;Mañana;1797856
222;Empleado_222;Técnico;Chinquihue;Mañana;853491
223;Empleado_223;Operario;Quellón;Mañana;1700220
224;Empleado_224;Técnico;Calbuco;Tarde;1271578
225;Empleado_225;Técnico;Quellón;Noche;521513
226;Empleado_226;Administrativo;Chinquihue;Mañana;1758052
227;Empleado_227;Operario;Hornopirén;Mañana;795644
228;Empleado_228;Administrativo;Quellón;Tarde;1786654
229;Empleado_229;Administrativo;Hornopirén;Tarde;682260
230;Empleado_230;Operario;Puerto Montt;Noche;524971
231;Empleado_231;Supervisor;Quellón;Noche;1710327
232;Empleado_232;Operario;Chinquihue;Noche;1347653
233;Empleado_233;Administrativo;Calbuco;Mañana;1906847
234;Empleado_234;Supervisor;Hornopirén;Tarde;1623384
235;Empleado_235;Administrativo;Quellón;Tarde;1409461
236;Empleado_236;Operario;Quellón;Tarde;778072
237;Empleado_237;Técnico;Puerto Montt;Tarde;1590452
238;Empleado_238;Operario;Calbuco;Tarde;1927138
239;Empleado_239;Técnico;Hornopirén;Noche;718924
240;Empleado_240;Técnico;Chinquihue;Tarde;1872744
241;Empleado_241;Administrativo;Calbuco;Tarde;533970
242;Empleado_242;Técnico;Puerto Montt;Tarde;979742
243;Empleado_243;Operario;Chinquihue;Mañana;1253134
244;Empleado_244;Técnico;Chinquihue;Noche;939862
245;Empleado_245;Administrativo;Puerto Montt;Mañana;1748600
246;Empleado_246;Técnico;Chinquihue;Mañana;1783023
247;Empleado_247;Supervisor;Puerto Montt;Mañana;1019624
248;Empleado_248;Administrativo;Calbuco;Tarde;737918
249;Empleado_249;Técnico;Quellón;Tarde;779422
250;Empleado_250;Operario;Chinquihue;Noche;1927035
251;Empleado_251;Administrativo;Puerto Montt;Noche;1204364
252;Empleado_252;Administrativo;Chinquihue;Mañana;969274
253;Empleado_253;Operario;Puerto Montt;Tarde;1414652
254;Empleado_254;Administrativo;Calbuco;Mañana;1933998
255;Empleado_255;Operario;Quellón;Mañana;1422693
256;Empleado_256;Operario;Hornopirén;Noche;622233
257;Empleado_257;Supervisor;Puerto Montt;Noche;1934439
258;Empleado_258;Administrativo;Chinquihue;Noche;645894
259;Empleado_259;Supervisor;Quellón;Tarde;1898333
260;Empleado_260;Operario;Puerto Montt;Tarde;635033
261;Empleado_261;Administrativo;Hornopirén;Tarde;774057
262;Empleado_262;Técnico;Calbuco;Noche;1096507
263;Empleado_263;Operario;Hornopirén;Mañana;1980881
264;Empleado_264;Operario;Puerto Montt;Noche;1663216
265;Empleado_265;Administrativo;Hornopirén;Tarde;1592773
266;Empleado_266;Operario;Quellón;Mañana;1889063
267;Empleado_267;Administrativo;Calbuco;Mañana;1995554
268;Empleado_268;Técnico;Chinquihue;Noche;977369
269;Empleado_269;Operario;Quellón;Noche;1254124
270;Empleado_270;Operario;Calbuco;Tarde;1362470
271;Empleado_271;Supervisor;Puerto Montt;Mañana;1068729
272;Empleado_272;Supervisor;Hornopirén;Mañana;1904740
273;Empleado_273;Técnico;Quellón;Mañana;1244122
274;Empleado_274;Técnico;Calbuco;Tarde;978249
275;Empleado_275;Operario;Puerto Montt;Mañana;1692999
276;Empleado_276;Supervisor;Puerto Montt;Mañana;1220986
277;Empleado_277;Supervisor;Hornopirén;Noche;1337393
278;Empleado_278;Técnico;Hornopirén;Tarde;1069267
279;Empleado_279;Operario;Calbuco;Tarde;1342437
280;Empleado_280;Supervisor;Hornopirén;Noche;1764243
281;Empleado_281;Operario;Calbuco;Mañana;889280
282;Empleado_282;Administrativo;Puerto Montt;Noche;566616
283;Empleado_283;Administrativo;Chinquihue;Noche;1950782
284;Empleado_284;Operario;Hornopirén;Noche;1458416
285;Empleado_285;Supervisor;Puerto Montt;Mañana;1594829
286;Empleado_286;Supervisor;Chinquihue;Tarde;1172029
287;Empleado_287;Técnico;Quellón;Noche;1431433
288;Empleado_288;Supervisor;Chinquihue;Tarde;1563748
289;Empleado_289;Operario;Puerto Montt;Noche;656757
290;Empleado_290;Técnico;Calbuco;Tarde;905005
291;Empleado_291;Operario;Quellón;Mañana;918147
292;Empleado_292;Supervisor;Quellón;Noche;1025276
293;Empleado_293;Técnico;Hornopirén;Tarde;826853
294;Empleado_294;Operario;Quellón;Noche;1801844
295;Empleado_295;Operario;Calbuco;Noche;1416330
296;Empleado_296;Supervisor;Puerto Montt;Tarde;1470515
297;Empleado_297;Técnico;Quellón;Mañana;839122
298;Empleado_298;Operario;Quellón;Mañana;1863082
299;Empleado_299;Operario;Quellón;Tarde;797295
300;Empleado_300;Operario;Quellón;Tarde;1905028
301;Empleado_301;Supervisor;Hornopirén;Tarde;808821
302;Empleado_302;Administrativo;Calbuco;Tarde;782810
303;Empleado_303;Operario;Hornopirén;Noche;518619
304;Empleado_304;Operario;Quellón;Mañana;1128021
305;Empleado_305;Técnico;Hornopirén;Mañana;1936599
306;Empleado_306;Operario;Calbuco;Tarde;1730009
307;Empleado_307;Supervisor;Chinquihue;Mañana;1999611
308;Empleado_308;Técnico;Calbuco;Mañana;1222688
309;Empleado_309;Supervisor;Calbuco;Tarde;1615048
310;Empleado_310;Técnico;Quellón;Mañana;1054557
311;Empleado_311;Técnico;Puerto Montt;Mañana;1979871
312;Empleado_312;Técnico;Quellón;Noche;983197
313;Empleado_313;Supervisor;Hornopirén;Tarde;1803376
314;Empleado_314;Técnico;Quellón;Tarde;1083340
315;Empleado_315;Supervisor;Puerto Montt;Noche;1806712
316;Empleado_316;Operario;Hornopirén;Tarde;800275
317;Empleado_317;Administrativo;Quellón;Tarde;1677709
318;Empleado_318;Técnico;Quellón;Mañana;594502
319;Empleado_319;Operario;Calbuco;Tarde;1525430
320;Empleado_320;Administrativo;Chinquihue;Tarde;923669
321;Empleado_321;Administrativo;Puerto Montt;Mañana;1098744
322;Empleado_322;Técnico;Calbuco;Mañana;754560
323;Empleado_323;Técnico;Quellón;Tarde;1244549
324;Empleado_324;Supervisor;Hornopirén;Tarde;776501
325;Empleado_325;Administrativo;Puerto Montt;Mañana;1566563
326;Empleado_326;Administrativo;Calbuco;Noche;1642303
327;Empleado_327;Administrativo;Calbuco;Mañana;1358508
328;Empleado_328;Técnico;Chinquihue;Noche;590208
329;Empleado_329;Administrativo;Chinquihue;Mañana;950396
330;Empleado_330;Administrativo;Quellón;Tarde;1849789
331;Empleado_331;Operario;Chinquihue;Mañana;1114765
332;Empleado_332;Operario;Puerto Montt;Noche;680709
333;Empleado_333;Operario;Hornopirén;Noche;1919925
334;Empleado_334;Supervisor;Quellón;Noche;1686733
335;Empleado_335;Operario;Quellón;Noche;614171
336;Empleado_336;Administrativo;Quellón;Tarde;671208
337;Empleado_337;Técnico;Hornopirén;Tarde;877240
338;Empleado_338;Técnico;Calbuco;Noche;852239
339;Empleado_339;Operario;Quellón;Noche;815224
340;Empleado_340;Operario;Quellón;Mañana;651811
341;Empleado_341;Supervisor;Chinquihue;Tarde;984616
342;Empleado_342;Operario;Hornopirén;Tarde;1069540
343;Empleado_343;Técnico;Chinquihue;Mañana;1561528
344;Empleado_344;Técnico;Hornopirén;Mañana;861109
345;Empleado_345;Técnico;Calbuco;Mañana;867271
346;Empleado_346;Operario;Puerto Montt;Noche;894956
347;Empleado_347;Operario;Hornopirén;Noche;754968
348;Empleado_348;Técnico;Hornopirén;Tarde;1999990
349;Empleado_349;Técnico;Calbuco;Tarde;1961359
350;Empleado_350;Técnico;Hornopirén;Mañana;1747434
351;Empleado_351;Supervisor;Calbuco;Noche;1729368
352;Empleado_352;Operario;Hornopirén;Mañana;1382636
353;Empleado_353;Operario;Chinquihue;Mañana;1425328
354;Empleado_354;Administrativo;Chinquihue;Noche;1959417
355;Empleado_355;Técnico;Chinquihue;Mañana;1519122
356;Empleado_356;Técnico;Chinquihue;Mañana;560971
357;Empleado_357;Técnico;Quellón;Tarde;1968965
358;Empleado_358;Administrativo;Quellón;Tarde;946441
359;Empleado_359;Supervisor;Hornopirén;Noche;1207982
360;Empleado_360;Supervisor;Hornopirén;Mañana;1773487
361;Empleado_361;Supervisor;Calbuco;Mañana;894410
362;Empleado_362;Operario;Calbuco;Noche;1500191
363;Empleado_363;Administrativo;Quellón;Noche;1286902
364;Empleado_364;Supervisor;Chinquihue;Mañana;973193
365;Empleado_365;Técnico;Puerto Montt;Mañana;619815
366;Empleado_366;Técnico;Puerto Montt;Tarde;1839858
367;Empleado_367;Supervisor;Quellón;Tarde;876402
368;Empleado_368;Supervisor;Puerto Montt;Tarde;1396538
369;Empleado_369;Administrativo;Puerto Montt;Mañana;1901175
370;Empleado_370;Operario;Puerto Montt;Mañana;1222789
371;Empleado_371;Técnico;Puerto Montt;Noche;1027142
372;Empleado_372;Técnico;Quellón;Mañana;1399803
373;Empleado_373;Supervisor;Calbuco;Mañana;752296
374;Empleado_374;Administrativo;Puerto Montt;Noche;1079950
375;Empleado_375;Supervisor;Puerto Montt;Noche;927629
376;Empleado_376;Supervisor;Puerto Montt;Mañana;1841346
377;Empleado_377;Administrativo;Puerto Montt;Mañana;1746771
378;Empleado_378;Técnico;Chinquihue;Noche;846339
379;Empleado_379;Administrativo;Calbuco;Noche;500021
380;Empleado_380;Operario;Hornopirén;Tarde;1407276
381;Empleado_381;Supervisor;Calbuco;Tarde;1774621
382;Empleado_382;Administrativo;Hornopirén;Noche;1896164
383;Empleado_383;Operario;Chinquihue;Tarde;564812
384;Empleado_384;Técnico;Calbuco;Tarde;1120733
385;Empleado_385;Técnico;Puerto Montt;Tarde;1955923
386;Empleado_386;Operario;Calbuco;Noche;812475
387;Empleado_387;Operario;Hornopirén;Mañana;889695
388;Empleado_388;Administrativo;Hornopirén;Tarde;1435802
389;Empleado_389;Técnico;Chinquihue;Mañana;1640846
390;Empleado_390;Operario;Hornopirén;Tarde;1606292
391;Empleado_391;Operario;Quellón;Tarde;1577506
392;Empleado_392;Técnico;Puerto Montt;Mañana;736798
393;Empleado_393;Operario;Hornopirén;Mañana;878035
394;Empleado_394;Supervisor;Calbuco;Tarde;631393
395;Empleado_395;Técnico;Quellón;Noche;1008372
396;Empleado_396;Operario;Hornopirén;Mañana;1954787
397;Empleado_397;Supervisor;Puerto Montt;Noche;1941702
398;Empleado_398;Supervisor;Puerto Montt;Mañana;1222481
399;Empleado_399;Técnico;Puerto Montt;Mañana;1890042
400;Empleado_400;Administrativo;Calbuco;Tarde;1486408
401;Empleado_401;Administrativo;Puerto Montt;Mañana;1956354
402;Empleado_402;Supervisor;Quellón;Noche;702388
403;Empleado_403;Técnico;Chinquihue;Noche;1259191
404;Empleado_404;Operario;Hornopirén;Noche;1348868
405;Empleado_405;Administrativo;Hornopirén;Mañana;942871
406;Empleado_406;Administrativo;Puerto Montt;Noche;1028837
407;Empleado_407;Operario;Calbuco;Tarde;904094
408;Empleado_408;Supervisor;Hornopirén;Tarde;1679554
409;Empleado_409;Administrativo;Calbuco;Tarde;1315982
410;Empleado_410;Técnico;Puerto Montt;Mañana;782119
411;Empleado_411;Administrativo;Quellón;Tarde;506491
412;Empleado_412;Administrativo;Quellón;Tarde;961298
413;Empleado_413;Administrativo;Calbuco;Mañana;848261
414;Empleado_414;Administrativo;Chinquihue;Mañana;838701
415;Empleado_415;Técnico;Quellón;Mañana;1765517
416;Empleado_416;Supervisor;Hornopirén;Noche;1780204
417;Empleado_417;Administrativo;Quellón;Mañana;696171
418;Empleado_418;Supervisor;Puerto Montt;Mañana;1645342
419;Empleado_419;Supervisor;Puerto Montt;Tarde;1244815
420;Empleado_420;Supervisor;Hornopirén;Noche;1586273
421;Empleado_421;Operario;Hornopirén;Mañana;612971
422;Empleado_422;Supervisor;Calbuco;Mañana;572912
423;Empleado_423;Técnico;Puerto Montt;Tarde;854317
424;Empleado_424;Operario;Quellón;Tarde;1093858
425;Empleado_425;Operario;Calbuco;Tarde;1736179
426;Empleado_426;Técnico;Calbuco;Mañana;1700211
427;Empleado_427;Administrativo;Puerto Montt;Noche;661789
428;Empleado_428;Administrativo;Calbuco;Mañana;1497737
429;Empleado_429;Administrativo;Puerto Montt;Noche;953927
430;Empleado_430;Supervisor;Calbuco;Tarde;1212008
431;Empleado_431;Técnico;Chinquihue;Mañana;1347765
432;Empleado_432;Administrativo;Calbuco;Tarde;741357
433;Empleado_433;Técnico;Chinquihue;Mañana;1811121
434;Empleado_434;Operario;Puerto Montt;Tarde;1398443
435;Empleado_435;Administrativo;Chinquihue;Mañana;1989849
436;Empleado_436;Supervisor;Calbuco;Noche;1382322
437;Empleado_437;Técnico;Quellón;Noche;1895620
438;Empleado_438;Operario;Puerto Montt;Tarde;1694902
439;Empleado_439;Técnico;Puerto Montt;Tarde;534610
440;Empleado_440;Operario;Quellón;Noche;1320374
441;Empleado_441;Supervisor;Puerto Montt;Tarde;804175
442;Empleado_442;Operario;Quellón;Noche;1754266
443;Empleado_443;Administrativo;Puerto Montt;Tarde;1838802
444;Empleado_444;Operario;Calbuco;Mañana;1296546
445;Empleado_445;Supervisor;Calbuco;Tarde;1089371
446;Empleado_446;Operario;Puerto Montt;Tarde;1277549
447;Empleado_447;Administrativo;Quellón;Noche;1941263
448;Empleado_448;Supervisor;Chinquihue;Mañana;742038
449;Empleado_449;Operario;Hornopirén;Tarde;1317840
450;Empleado_450;Supervisor;Hornopirén;Tarde;805329
451;Empleado_451;Técnico;Calbuco;Tarde;677332
452;Empleado_452;Técnico;Quellón;Tarde;1773194
453;Empleado_453;Administrativo;Chinquihue;Tarde;1482316
454;Empleado_454;Administrativo;Hornopirén;Mañana;1022153
455;Empleado_455;Administrativo;Quellón;Mañana;1419029
456;Empleado_456;Administrativo;Calbuco;Mañana;820488
457;Empleado_457;Supervisor;Calbuco;Mañana;556569
458;Empleado_458;Administrativo;Chinquihue;Mañana;1386838
459;Empleado_459;Supervisor;Quellón;Tarde;1963139
460;Empleado_460;Técnico;Quellón;Noche;1746609
461;Empleado_461;Operario;Puerto Montt;Noche;830718
462;Empleado_462;Técnico;Quellón;Mañana;1968031
463;Empleado_463;Administrativo;Quellón;Mañana;1139583
464;Empleado_464;Administrativo;Hornopirén;Tarde;1331389
465;Empleado_465;Operario;Quellón;Noche;1264689
466;Empleado_466;Técnico;Calbuco;Tarde;785800
467;Empleado_467;Administrativo;Puerto Montt;Noche;609799
468;Empleado_468;Administrativo;Calbuco;Tarde;1299830
469;Empleado_469;Técnico;Puerto Montt;Noche;1113207
470;Empleado_470;Supervisor;Chinquihue;Mañana;966651
471;Empleado_471;Operario;Quellón;Noche;1784983
472;Empleado_472;Técnico;Hornopirén;Mañana;1590367
473;Empleado_473;Supervisor;Hornopirén;Noche;1027336
474;Empleado_474;Operario;Hornopirén;Tarde;1279554
475;Empleado_475;Operario;Quellón;Tarde;1940947
476;Empleado_476;Técnico;Puerto Montt;Mañana;1623381
477;Empleado_477;Supervisor;Puerto Montt;Tarde;1841697
478;Empleado_478;Administrativo;Chinquihue;Tarde;1832352
479;Empleado_479;Administrativo;Hornopirén;Noche;580535
